order_id,order_date,product_id,category,price,quantity,customer_id,region,revenue
1,2023-01-01 00:00:00,1051,Sports,251.49,1,13846,North,251.49
2,2023-01-01 01:00:00,1092,Home,251.49,1,18006,South,251.49
3,2023-01-01 02:00:00,1014,Home,251.49,2,15687,West,502.98
4,2023-01-01 03:00:00,1071,Home,251.49,2,19541,West,502.98
5,2023-01-01 04:00:00,1060,Home,251.49,3,16233,West,754.47
6,2023-01-01 05:00:00,1020,Clothing,251.49,2,18136,East,502.98
7,2023-01-01 06:00:00,1082,Sports,251.49,3,17927,North,754.47
8,2023-01-01 07:00:00,1086,Electronics,251.49,3,15027,East,754.47
9,2023-01-01 08:00:00,1074,Sports,251.49,2,14482,East,502.98
10,2023-01-01 09:00:00,1074,Sports,251.49,1,13068,North,251.49
11,2023-01-01 10:00:00,1087,Home,251.49,3,13256,North,754.47
12,2023-01-01 11:00:00,1099,Home,251.49,3,12667,South,754.47
13,2023-01-01 12:00:00,1023,Clothing,251.49,2,15567,East,502.98
14,2023-01-01 13:00:00,1002,Home,251.49,1,14253,North,251.49
15,2023-01-01 14:00:00,1021,Clothing,251.49,4,16058,West,1005.96
16,2023-01-01 15:00:00,1052,Sports,251.49,3,10423,North,754.47
17,2023-01-01 16:00:00,1001,Sports,251.49,2,10733,West,502.98
18,2023-01-01 17:00:00,1087,Sports,251.49,1,10664,West,251.49
19,2023-01-01 18:00:00,1029,Clothing,251.49,1,13421,North,251.49
20,2023-01-01 19:00:00,1037,Clothing,251.49,1,15145,West,251.49
21,2023-01-01 20:00:00,1001,Clothing,251.49,3,12370,West,754.47
22,2023-01-01 21:00:00,1063,Home,251.49,4,18364,East,1005.96
23,2023-01-01 22:00:00,1059,Electronics,251.49,1,18904,North,251.49
24,2023-01-01 23:00:00,1020,Home,251.49,3,15064,North,754.47
25,2023-01-02 00:00:00,1032,Electronics,251.49,2,17258,West,502.98
26,2023-01-02 01:00:00,1075,Home,251.49,1,10631,South,251.49
27,2023-01-02 02:00:00,1057,Sports,251.49,3,14218,West,754.47
28,2023-01-02 03:00:00,1021,Clothing,251.49,4,17037,South,1005.96
29,2023-01-02 04:00:00,1088,Home,251.49,1,13536,West,251.49
30,2023-01-02 05:00:00,1048,Clothing,251.49,4,13542,West,1005.96
31,2023-01-02 06:00:00,1090,Home,251.49,3,17512,East,754.47
32,2023-01-02 07:00:00,1058,Sports,251.49,2,11310,West,502.98
33,2023-01-02 08:00:00,1041,Clothing,251.49,3,10773,East,754.47
34,2023-01-02 09:00:00,1091,Sports,251.49,4,11508,North,1005.96
35,2023-01-02 10:00:00,1059,Electronics,251.49,4,10958,West,1005.96
36,2023-01-02 11:00:00,1079,Clothing,251.49,2,12721,North,502.98
37,2023-01-02 12:00:00,1014,Home,251.49,1,10151,West,251.49
38,2023-01-02 13:00:00,1061,Clothing,251.49,3,14025,East,754.47
39,2023-01-02 14:00:00,1061,Electronics,251.49,2,15833,West,502.98
40,2023-01-02 15:00:00,1046,Electronics,251.49,1,19593,East,251.49
41,2023-01-02 16:00:00,1061,Home,251.49,2,12362,South,502.98
42,2023-01-02 17:00:00,1050,Sports,251.49,4,11815,North,1005.96
43,2023-01-02 18:00:00,1054,Clothing,251.49,1,18125,North,251.49
44,2023-01-02 19:00:00,1063,Sports,251.49,2,11329,West,502.98
45,2023-01-02 20:00:00,1002,Sports,251.49,3,19469,West,754.47
46,2023-01-02 21:00:00,1050,Home,251.49,2,17644,West,502.98
47,2023-01-02 22:00:00,1006,Clothing,251.49,1,11110,South,251.49
48,2023-01-02 23:00:00,1020,Electronics,251.49,2,11314,North,502.98
49,2023-01-03 00:00:00,1072,Home,251.49,2,16520,South,502.98
50,2023-01-03 01:00:00,1038,Sports,251.49,3,18021,South,754.47
51,2023-01-03 02:00:00,1017,Electronics,251.49,1,17813,East,251.49
52,2023-01-03 03:00:00,1003,Sports,251.49,1,12743,East,251.49
53,2023-01-03 04:00:00,1088,Clothing,251.49,4,15462,West,1005.96
54,2023-01-03 05:00:00,1059,Sports,251.49,2,18956,East,502.98
55,2023-01-03 06:00:00,1013,Electronics,251.49,1,11892,East,251.49
56,2023-01-03 07:00:00,1008,Clothing,251.49,1,10937,South,251.49
57,2023-01-03 08:00:00,1089,Home,251.49,1,16035,East,251.49
58,2023-01-03 09:00:00,1052,Sports,251.49,3,12698,North,754.47
59,2023-01-03 10:00:00,1001,Clothing,251.49,3,15463,East,754.47
60,2023-01-03 11:00:00,1083,Clothing,251.49,3,10696,North,754.47
61,2023-01-03 12:00:00,1091,Home,251.49,1,19169,West,251.49
62,2023-01-03 13:00:00,1059,Home,251.49,3,12310,West,754.47
63,2023-01-03 14:00:00,1070,Electronics,251.49,1,13247,North,251.49
64,2023-01-03 15:00:00,1043,Clothing,251.49,3,18788,South,754.47
65,2023-01-03 16:00:00,1007,Clothing,251.49,2,15367,South,502.98
66,2023-01-03 17:00:00,1046,Electronics,251.49,1,11614,East,251.49
67,2023-01-03 18:00:00,1034,Sports,251.49,4,14315,East,1005.96
68,2023-01-03 19:00:00,1077,Clothing,251.49,2,12651,North,502.98
69,2023-01-03 20:00:00,1080,Clothing,251.49,2,10462,East,502.98
70,2023-01-03 21:00:00,1035,Sports,251.49,2,10628,North,502.98
71,2023-01-03 22:00:00,1049,Home,251.49,4,11242,South,1005.96
72,2023-01-03 23:00:00,1003,Home,251.49,4,16056,North,1005.96
73,2023-01-04 00:00:00,1001,Home,251.49,4,16731,East,1005.96
74,2023-01-04 01:00:00,1005,Electronics,251.49,3,15310,West,754.47
75,2023-01-04 02:00:00,1053,Sports,251.49,3,17262,North,754.47
76,2023-01-04 03:00:00,1003,Home,251.49,2,13074,South,502.98
77,2023-01-04 04:00:00,1053,Electronics,251.49,4,15432,North,1005.96
78,2023-01-04 05:00:00,1092,Sports,251.49,2,12245,East,502.98
79,2023-01-04 06:00:00,1062,Home,251.49,2,15779,South,502.98
80,2023-01-04 07:00:00,1017,Clothing,251.49,4,13250,South,1005.96
81,2023-01-04 08:00:00,1089,Clothing,251.49,3,13751,East,754.47
82,2023-01-04 09:00:00,1043,Home,251.49,2,12624,East,502.98
83,2023-01-04 10:00:00,1033,Home,251.49,2,14364,East,502.98
84,2023-01-04 11:00:00,1073,Electronics,251.49,1,10465,East,251.49
85,2023-01-04 12:00:00,1061,Clothing,251.49,4,10499,North,1005.96
86,2023-01-04 13:00:00,1099,Sports,251.49,2,11971,South,502.98
87,2023-01-04 14:00:00,1013,Home,251.49,4,18715,North,1005.96
88,2023-01-04 15:00:00,1094,Sports,251.49,1,18875,North,251.49
89,2023-01-04 16:00:00,1047,Home,251.49,4,13353,East,1005.96
90,2023-01-04 17:00:00,1014,Clothing,251.49,1,13881,East,251.49
91,2023-01-04 18:00:00,1071,Home,251.49,1,10667,North,251.49
92,2023-01-04 19:00:00,1077,Sports,251.49,3,16872,North,754.47
93,2023-01-04 20:00:00,1086,Clothing,251.49,2,18660,East,502.98
94,2023-01-04 21:00:00,1061,Home,251.49,2,14911,West,502.98
95,2023-01-04 22:00:00,1039,Clothing,251.49,4,13505,West,1005.96
96,2023-01-04 23:00:00,1084,Electronics,251.49,4,14336,South,1005.96
97,2023-01-05 00:00:00,1079,Sports,251.49,1,11290,North,251.49
